ts,price,date
1778860854970,79140.59603088169,2026-05-15
1778864443047,79227.9952205075,2026-05-15
1778868060309,79414.04836193676,2026-05-15
1778871636331,79233.92614210196,2026-05-15
1778875242664,79121.1795650801,2026-05-15
1778878844465,79074.4828476354,2026-05-15
1778882448811,78960.85304787316,2026-05-15
1778886034278,79067.66378149157,2026-05-15
1778889659584,79071.54026748115,2026-05-16
1778893252902,79045.98956499087,2026-05-16
1778896828652,79124.94324558716,2026-05-16
1778900439072,79056.41601316098,2026-05-16
1778904029997,79057.8193456096,2026-05-16
1778907640057,78983.27028455223,2026-05-16
1778911243611,78943.79036564812,2026-05-16
1778914871774,78600.90413421272,2026-05-16
1778918453671,78335.77889292447,2026-05-16
1778922018734,78381.03314710695,2026-05-16
1778925660182,78054.51070754218,2026-05-16
1778929233785,77912.5167834028,2026-05-16
1778932840423,78051.93728239798,2026-05-16
1778936425024,77982.28628828519,2026-05-16
1778940038236,77959.3752388931,2026-05-16
1778943647572,78093.091820838,2026-05-16
1778947245210,78202.9161974475,2026-05-16
1778950842461,78138.05831742722,2026-05-16
1778954443663,78180.62622289089,2026-05-16
1778958003457,78198.39614142905,2026-05-16
1778961646859,78216.81663750052,2026-05-16
1778965227189,78225.72888066393,2026-05-16
1778968842168,78257.2390768038,2026-05-16
1778972439790,78156.22546207823,2026-05-16
1778976043668,78135.00994863857,2026-05-17
1778979636743,77882.3262379739,2026-05-17
1778983245701,77727.76142928877,2026-05-17
1778986809019,77869.83067879325,2026-05-17
1778990458556,77979.88187175932,2026-05-17
1778994072505,78124.20569826697,2026-05-17
1778997634358,78087.48797937523,2026-05-17
1779001272997,78065.68623550446,2026-05-17
1779004832327,78136.11266346957,2026-05-17
1779008405871,78051.86481993174,2026-05-17
1779012027506,78233.19909920012,2026-05-17
1779015664810,78400.27916520913,2026-05-17
1779019269541,78368.61791250898,2026-05-17
1779022843950,78329.31987604302,2026-05-17
1779026422361,78180.52204950555,2026-05-17
1779030048574,78020.49492571769,2026-05-17
1779033646182,78011.09225884621,2026-05-17
1779037247708,78012.92029538131,2026-05-17
1779040836102,78035.74701606306,2026-05-17
1779044439072,78195.87344032283,2026-05-17
1779048047329,78357.07027478493,2026-05-17
1779051611000,78253.23742415351,2026-05-17
1779055230487,78381.76639133113,2026-05-17
1779058845586,77927.94321509842,2026-05-17
1779062451831,77432.49532158482,2026-05-18
1779066049983,77113.76999246645,2026-05-18
1779069643229,77081.14895044707,2026-05-18
1779073217909,76766.43250777687,2026-05-18
1779076841153,76902.39831358608,2026-05-18
1779080408990,76993.05426448864,2026-05-18
1779084007911,76859.74311691838,2026-05-18
1779087642053,76873.53211450647,2026-05-18
1779091207189,77012.12004935036,2026-05-18
1779094826548,76981.44715886422,2026-05-18
1779098435719,76885.21648367132,2026-05-18
1779102048161,76755.92727194424,2026-05-18
1779105624973,77247.08712150832,2026-05-18
1779109201587,77580.45788279633,2026-05-18
1779112878061,76900.22553573406,2026-05-18
1779116413835,76310.83487159385,2026-05-18
1779120052766,76379.69769204907,2026-05-18
1779123638595,76378.03245877317,2026-05-18
1779127224305,76644.85000183797,2026-05-18
1779130829858,76201.13499806737,2026-05-18
1779134448713,76826.81155248074,2026-05-18
1779138031987,76875.459595518,2026-05-18
1779141637828,77059.8254962274,2026-05-18
1779145226306,76995.11844336234,2026-05-18
1779148843909,76952.2148594993,2026-05-19
1779152456632,77115.67918508459,2026-05-19
1779156032767,76662.75223604184,2026-05-19
1779159634357,76561.75331627803,2026-05-19
1779163232929,76711.84159629511,2026-05-19
1779166838609,76853.63688528951,2026-05-19
1779170438636,76866.66226018792,2026-05-19
1779174029987,76972.81195472868,2026-05-19
1779177613572,77163.06667781518,2026-05-19
1779181251805,77016.71228883085,2026-05-19
1779184857013,76761.03496632191,2026-05-19
1779188423973,76990.21123393172,2026-05-19
1779192019505,76669.24774787932,2026-05-19
1779195648660,76895.93036006749,2026-05-19
1779199228466,76817.60520358298,2026-05-19
1779202851330,76303.16796769164,2026-05-19
1779206412611,76435.07593855551,2026-05-19
1779210071409,76836.20168129544,2026-05-19
1779213635285,76764.16350432558,2026-05-19
1779217243024,76748.12847316008,2026-05-19
1779220810402,76749.63496080026,2026-05-19
1779224436075,76964.22931200596,2026-05-19
1779228050153,76941.07168562195,2026-05-19
1779231630309,76657.70732989699,2026-05-19
1779235209472,76752.95255055482,2026-05-20
1779238833532,76694.16347867198,2026-05-20
1779242468285,76752.76732486086,2026-05-20
1779246023669,76618.8095608257,2026-05-20
1779249630592,76660.10858790681,2026-05-20
1779253234287,76695.07866034079,2026-05-20
1779256851701,77109.62949335223,2026-05-20
1779260427638,77317.86766032185,2026-05-20
1779264035458,77197.76872528357,2026-05-20
1779267606586,77374.81435710962,2026-05-20
